relvolume,high,open,low,symbol,price,percentchange,watchers,hourchange,sentiment
0.8904,98.93,98.02,95.425,AMD,96.61,-1.368,456283,6,-2.21
1.0594,87.38,87.12,86.33,SONY,86.64,-1.0168,2080,0,0.0
1.0705,130.255,126.47,126.47,IBM,129.31,3.2086,51335,1,4.09
0.4942,205.86,204.81,201.37,META,202.84,-1.5388,512185,5,-0.79
1.2406,129.38,126.79,126.29,JPM,128.49,2.8661,82438,2,-1.68
0.5885,99.335,99.07,97.08,AMZN,98.04,-0.0917,587199,5,-0.49
0.2612,8.445,8.35,7.57,CVNA,7.62,-6.9597,23411,-4,-0.74
0.3979,459.96,459.09,455.23,NOC,458.25,0.659,8013,0,0.0
0.5515,4.58,4.51,4.3,AMC,4.55,1.7897,411959,-2,-0.46
0.6029,160.77,159.94,157.87,AAPL,158.28,-1.2293,876594,5,-0.48
0.5969,200.21,199.36,191.61,ENPH,195.83,-0.0816,37292,1,-0.21
0.6504,197.39,194.415,189.94,TSLA,191.81,0.7353,889478,7,-0.73
0.6373,119.4,118.9,118.14,EA,118.64,-0.3276,20715,0,-5.45
0.6543,104.76,104.615,101.9273,GOOGL,102.46,-2.8263,159780,-2,-0.67
0.6526,29.73,29.37,29.08,INTC,29.18,-0.6131,130884,-1,1.14
0.6882,281.4589,280.5,275.52,MSFT,276.38,-1.4934,442439,5,-0.23
0.6791,269.94,268.37,263.6501,NVDA,265.31,-0.9261,420367,-2,-0.95
0.5937,5.88,5.82,5.73,SOFI,5.76,0.3484,91737,1,0.35
