price,low,symbol,open,relvolume,high,percentchange,watchers,hourchange,sentiment
29.29,28.63,INTC,29.075,0.6633,29.33,0.377,130892,2,-2.02
101.03,99.7401,GOOGL,102.44,0.707,102.4,-1.3957,159816,3,-4.52
7.36,7.22,CVNA,7.57,0.235,7.72,-3.4121,23379,0,-0.15
193.52,190.624,ENPH,196.0,0.3801,196.515,-1.1796,37300,0,-2.54
129.34,128.8,IBM,129.18,0.4651,129.66,0.0232,51347,0,1.27
157.65,155.98,AAPL,157.97,0.5555,158.1277,-0.398,876656,-1,-2.44
275.23,272.05,MSFT,275.79,0.5713,276.13,-0.4161,442493,2,-1.84
94.56,92.87,AMD,96.77,0.907,96.93,-2.1219,456320,1,-0.45
200.68,197.9,META,200.15,0.535,201.03,-1.0649,512233,0,-4.0
128.88,127.75,JPM,128.71,0.7437,129.3417,0.3035,82452,2,-5.42
264.1,258.5,NVDA,264.47,0.6755,265.13,-0.4561,420435,5,-1.23
459.0,457.59,NOC,458.31,0.3387,461.5,0.1637,8020,0,3.57
189.19,185.43,TSLA,192.0,0.5363,192.35,-1.3659,889592,4,-3.14
118.02,117.38,EA,118.085,0.5197,118.4425,-0.5226,20713,0,4.44
85.82,85.74,SONY,86.11,0.8063,86.6682,-0.9464,2081,0,0.0
5.59,5.51,SOFI,5.74,0.5751,5.79,-2.9514,91757,2,-0.37
5.15,4.46,AMC,4.51,2.4732,5.5,13.1868,412366,23,0.8
97.24,96.29,AMZN,98.11,0.4953,98.44,-0.816,587298,6,-0.62
