percentchange,price,relvolume,high,low,symbol,open,watchers,hourchange,sentiment
0.6768,279.65,0.736,280.0,273.36,NVDA,275.09,420845,5,1.04
-0.659,6.03,0.8172,6.275,5.94,SOFI,6.14,91844,0,-1.21
0.7501,91.33,1.0137,91.38,90.41,SONY,90.41,2088,0,0.0
1.996,5.11,0.4861,5.145,4.94,AMC,4.99,412536,36,0.45
0.6734,32.89,1.0724,33.56,32.54,INTC,32.94,131144,2,0.27
-0.3711,287.23,0.6614,288.27,283.95,MSFT,286.52,442830,1,-0.02
0.7399,132.06,0.5014,132.61,130.77,IBM,130.97,51354,0,2.17
1.6179,469.19,0.4395,471.55,462.65,NOC,463.3,8034,3,0.0
-6.1168,194.77,0.9487,202.6897,192.2,TSLA,199.91,890355,10,-1.07
0.5332,213.07,0.5014,213.4861,208.2001,META,208.84,512460,2,1.58
0.7472,121.35,0.5851,121.65,119.6,EA,120.14,20708,0,8.33
-3.6523,202.6,0.7684,215.8856,201.6293,ENPH,213.98,37373,1,1.41
-5.1073,9.29,0.4915,10.16,9.085,CVNA,9.64,23358,-1,-0.11
0.7702,166.17,0.6998,166.29,164.27,AAPL,164.27,877083,4,1.52
-1.4794,96.56,0.7543,96.79,94.81,AMD,96.695,456503,-4,-1.06
0.6073,104.36,0.5137,104.53,102.11,GOOGL,102.39,160017,5,2.03
-0.852,102.41,0.5293,103.29,101.43,AMZN,102.3,587686,4,0.96
-0.1151,130.16,0.5897,131.44,129.41,JPM,129.91,82515,0,3.34
