relvolume,open,low,percentchange,symbol,price,high,watchers,hourchange,sentiment
0.4949,128.28,128.15,0.4837,EA,128.8,129.56,20704,0,0.0
0.4428,478.4,472.07,-0.6058,NOC,474.18,478.4,8041,0,8.57
0.6838,166.09,165.56,-0.5846,AAPL,166.65,167.87,878285,0,-2.57
1.7117,130.15,125.84,0.0317,IBM,126.36,130.98,51478,2,4.14
0.4419,213.48,212.77,-1.2193,META,213.07,216.75,513000,0,-2.57
0.5575,220.5,219.31,0.2319,ENPH,224.79,226.26,37478,-1,1.5
0.7877,103.53,103.21,-0.4698,AMZN,103.81,105.24,588848,0,-0.96
0.5128,30.76,30.71,-0.931,INTC,30.86,31.25,131292,1,-0.79
0.3562,8.3,7.91,-7.3001,CVNA,8.0,8.51,23276,-2,-7.98
0.7047,88.825,88.75,0.189,AMD,90.11,91.575,456932,1,0.04
0.2431,5.0,4.89,-2.549,AMC,4.97,5.02,413198,2,-0.21
0.791,276.71,270.0,-2.9609,NVDA,271.04,280.3,422017,3,1.68
0.7099,90.97,90.915,0.4507,SONY,91.38,92.275,2090,0,0.0
0.5805,103.91,103.8684,1.0655,GOOGL,105.29,106.25,160590,2,-0.64
0.5018,5.98,5.88,-2.6316,SOFI,5.92,6.045,91968,2,-0.22
1.261,166.165,160.56,-9.7458,TSLA,162.99,169.55,892560,10,-5.87
0.5739,139.91,140.17,-0.2903,JPM,140.81,141.4299,82979,4,-1.09
0.5981,285.25,285.08,-0.8112,MSFT,286.11,289.03,443704,2,-2.26
