price,symbol,open,low,relvolume,percentchange,high,watchers,hourchange,sentiment
204.93,META,198.26,196.09,1.4445,3.6308,205.76,511579,1,2.14
124.7,IBM,122.96,121.92,1.2179,1.1518,124.82,51323,2,7.43
184.13,TSLA,180.365,178.84,0.6387,2.0393,185.81,888566,2,4.0
276.2,MSFT,265.205,263.28,1.4833,4.0536,276.5,441640,-7,6.03
201.1,ENPH,204.92,198.28,0.7833,-2.2648,205.58,36997,0,-0.87
96.6,AMD,89.72,89.02,1.9766,7.7163,96.69,455762,9,5.36
86.39,SONY,84.51,84.21,1.0857,3.1646,86.47,2078,0,-13.33
5.45,SOFI,5.3501,5.28,0.6438,0.7394,5.54,91534,2,1.02
30.18,INTC,28.39,28.4,1.5477,6.2302,30.27,130778,2,5.9
4.39,AMC,4.22,4.06,0.764,4.2755,4.65,411750,2,0.42
113.53,EA,111.39,111.39,0.7185,1.9303,113.79,20735,0,-8.33
7.41,CVNA,6.92,6.63,0.4207,5.1064,7.585,23316,0,0.6
100.04,AMZN,95.75,95.61,1.0602,3.9917,100.99,586498,0,3.92
100.32,GOOGL,96.2,95.5,1.5267,4.3804,101.18,159483,2,2.15
130.75,JPM,128.01,126.02,1.8493,1.9414,131.95,81986,2,3.98
450.15,NOC,449.11,448.0,0.8285,0.2785,455.97,7993,0,5.68
255.41,NVDA,240.27,238.94,1.1226,5.4193,255.88,419037,-4,6.77
155.85,AAPL,152.16,151.64,0.9062,1.8694,156.42,875747,-1,4.25
