low,open,relvolume,price,high,percentchange,symbol,watchers,hourchange,sentiment
93.64,97.0,1.4062,95.93,99.46,-0.909,AMD,455985,-1,-2.0
130.19,130.59,1.1569,130.55,131.73,2.6821,JPM,82255,2,-0.04
253.82,261.8,1.0443,261.99,263.91,1.1544,NVDA,419570,3,0.97
125.66,126.9,0.5415,126.57,127.15,0.5002,IBM,51324,0,6.41
113.11,113.11,0.7754,114.94,115.15,1.2509,EA,20730,0,-8.33
447.07,453.79,0.472,449.98,454.66,0.1603,NOC,8009,0,-9.09
188.04,188.28,0.8096,197.58,197.99,7.8199,TSLA,888994,3,-0.94
4.2115,4.33,0.4458,4.41,4.4458,3.2787,AMC,411794,19,2.01
101.22,101.25,0.949,104.92,105.0996,3.6554,GOOGL,159625,1,-2.26
7.18,7.19,0.3545,7.93,8.09,12.1641,CVNA,23282,-2,0.69
88.71,89.08,0.8793,89.37,89.7,1.0744,SONY,2080,0,0.0
98.0,98.14,0.7329,100.61,100.84,2.968,AMZN,586871,1,1.31
27.975,29.0,1.1245,28.46,29.165,-2.4005,INTC,130851,0,0.66
197.96,203.2,0.9155,202.16,203.515,2.1991,META,511818,2,1.37
195.44,196.93,1.1827,207.63,209.33,7.8541,ENPH,37227,1,2.66
269.53,274.88,0.8582,273.78,274.95,0.5694,MSFT,442017,2,0.4
5.3243,5.35,0.733,5.57,5.6,6.705,SOFI,91600,1,0.48
156.54,157.32,0.8214,159.28,159.4,1.1944,AAPL,876153,5,1.78
