open,symbol,price,percentchange,relvolume,low,high,watchers,hourchange,sentiment
97.0,AMD,95.93,-0.909,1.4062,93.64,99.46,455985,-1,-2.0
261.8,NVDA,261.99,1.1544,1.0443,253.82,263.91,419570,3,0.97
453.79,NOC,449.98,0.1603,0.472,447.07,454.66,8009,0,-9.09
113.11,EA,114.94,1.2509,0.7754,113.11,115.15,20730,0,-8.33
130.59,JPM,130.55,2.6821,1.1569,130.19,131.73,82255,2,-0.04
126.9,IBM,126.57,0.5002,0.5415,125.66,127.15,51324,0,6.41
188.28,TSLA,197.58,7.8199,0.8096,188.04,197.99,888994,3,-0.94
101.25,GOOGL,104.92,3.6554,0.949,101.22,105.0996,159625,1,-2.26
4.33,AMC,4.41,3.2787,0.4458,4.2115,4.4458,411794,19,2.01
7.19,CVNA,7.93,12.1641,0.3545,7.18,8.09,23282,-2,0.69
98.14,AMZN,100.61,2.968,0.7329,98.0,100.84,586871,1,1.31
89.08,SONY,89.37,1.0744,0.8793,88.71,89.7,2080,0,0.0
29.0,INTC,28.46,-2.4005,1.1245,27.975,29.165,130851,0,0.66
196.93,ENPH,207.63,7.8541,1.1827,195.44,209.33,37227,1,2.66
203.2,META,202.16,2.1991,0.9155,197.96,203.515,511818,2,1.37
274.88,MSFT,273.78,0.5694,0.8582,269.53,274.95,442017,2,0.4
5.35,SOFI,5.57,6.705,0.733,5.3243,5.6,91600,1,0.48
157.32,AAPL,159.28,1.1944,0.8214,156.54,159.4,876153,5,1.78
