open,symbol,relvolume,price,high,percentchange,low,watchers,hourchange,sentiment
114.29,EA,0.8082,113.16,115.1,-1.5486,113.14,20724,0,25.0
5.79,SOFI,1.6018,5.56,6.03,-0.1795,5.54,91661,1,2.39
28.48,INTC,0.735,28.13,29.12,-1.1595,28.1,130857,-1,-8.44
95.65,AMD,1.7963,97.58,101.7,1.72,95.645,456057,8,-3.85
104.27,GOOGL,1.0266,103.37,106.59,-1.4773,103.33,159666,5,-6.06
100.45,AMZN,0.7426,98.7,102.1,-1.8984,98.61,586932,11,-1.58
10.15,CVNA,1.7855,8.43,10.25,6.3052,8.4,23434,0,8.79
88.91,SONY,0.9838,87.44,89.0699,-2.1596,87.43,2080,0,0.0
202.5,META,0.8014,199.81,207.37,-1.1624,199.67,511876,4,2.28
209.65,ENPH,0.8075,202.15,211.22,-2.6393,202.0,37246,2,-0.17
264.25,NVDA,1.5517,264.68,275.89,1.0268,262.37,419791,13,0.84
199.3,TSLA,0.7976,191.15,200.66,-3.2544,190.95,889119,16,-1.56
450.22,NOC,0.5627,443.6,452.4,-1.4178,443.085,8008,0,-18.18
127.0,IBM,0.5477,124.05,127.215,-1.991,124.01,51324,0,16.67
4.73,AMC,0.8468,4.34,4.75,-1.5873,4.31,411913,1,4.0
273.4,MSFT,0.9473,272.29,281.04,-0.5442,272.22,442098,6,1.1
130.56,JPM,1.1652,127.18,130.655,-2.5814,127.08,82275,0,0.18
159.3,AAPL,0.893,157.83,162.14,-0.9103,157.81,876238,3,0.47
