open,symbol,relvolume,price,low,high,percentchange,watchers,hourchange,sentiment
199.36,ENPH,0.5969,195.83,191.61,200.21,-0.0816,37292,1,-0.21
194.415,TSLA,0.6504,191.81,189.94,197.39,0.7353,889478,7,-0.73
118.9,EA,0.6373,118.64,118.14,119.4,-0.3276,20715,0,-5.45
104.615,GOOGL,0.6543,102.46,101.9273,104.76,-2.8263,159780,-2,-0.67
29.37,INTC,0.6526,29.18,29.08,29.73,-0.6131,130884,-1,1.14
268.37,NVDA,0.6791,265.31,263.6501,269.94,-0.9261,420367,-2,-0.95
280.5,MSFT,0.6882,276.38,275.52,281.4589,-1.4934,442439,5,-0.23
5.82,SOFI,0.5937,5.76,5.73,5.88,0.3484,91737,1,0.35
98.02,AMD,0.8904,96.61,95.425,98.93,-1.368,456283,6,-2.21
87.12,SONY,1.0594,86.64,86.33,87.38,-1.0168,2080,0,0.0
126.47,IBM,1.0705,129.31,126.47,130.255,3.2086,51335,1,4.09
204.81,META,0.4942,202.84,201.37,205.86,-1.5388,512185,5,-0.79
126.79,JPM,1.2406,128.49,126.29,129.38,2.8661,82438,2,-1.68
99.07,AMZN,0.5885,98.04,97.08,99.335,-0.0917,587199,5,-0.49
4.51,AMC,0.5515,4.55,4.3,4.58,1.7897,411959,-2,-0.46
459.09,NOC,0.3979,458.25,455.23,459.96,0.659,8013,0,0.0
159.94,AAPL,0.6029,158.28,157.87,160.77,-1.2293,876594,5,-0.48
8.35,CVNA,0.2612,7.62,7.57,8.445,-6.9597,23411,-4,-0.74
