symbol,price,relvolume,percentchange,low,high,open,watchers,hourchange,sentiment
AMC,4.97,0.2431,-2.549,4.89,5.02,5.0,413190,0,1.05
GOOGL,105.29,0.5805,1.0655,103.8684,106.25,103.91,160582,0,-2.02
NVDA,271.04,0.791,-2.9609,270.0,280.3,276.71,421999,4,1.67
SONY,91.38,0.7099,0.4507,90.915,92.275,90.97,2090,0,0.0
SOFI,5.92,0.5018,-2.6316,5.88,6.045,5.98,91960,0,0.51
TSLA,162.99,1.261,-9.7458,160.56,169.55,166.165,892438,0,-11.56
JPM,140.81,0.5739,-0.2903,140.17,141.4299,139.91,82976,0,-0.63
NOC,474.18,0.4428,-0.6058,472.07,478.4,478.4,8042,-1,11.89
MSFT,286.11,0.5981,-0.8112,285.08,289.03,285.25,443691,11,-2.82
AAPL,166.65,0.6838,-0.5846,165.56,167.87,166.09,878279,5,-2.25
IBM,126.36,1.7117,0.0317,125.84,130.98,130.15,51487,-1,1.34
ENPH,224.79,0.5575,0.2319,219.31,226.26,220.5,37478,0,1.41
AMZN,103.81,0.7877,-0.4698,103.21,105.24,103.53,588824,4,-1.75
META,213.07,0.4419,-1.2193,212.77,216.75,213.48,512987,0,-1.9
EA,128.8,0.4949,0.4837,128.15,129.56,128.28,20703,0,0.0
INTC,30.86,0.5128,-0.931,30.71,31.25,30.76,131293,0,-1.13
AMD,90.11,0.7047,0.189,88.75,91.575,88.825,456931,-2,-2.11
CVNA,8.0,0.3562,-7.3001,7.91,8.51,8.3,23279,0,-3.81
