relvolume,symbol,low,high,open,price,percentchange,watchers,hourchange,sentiment
1.1827,ENPH,195.44,209.33,196.93,207.63,7.8541,37227,1,2.66
0.9155,META,197.96,203.515,203.2,202.16,2.1991,511818,2,1.37
0.733,SOFI,5.3243,5.6,5.35,5.57,6.705,91600,1,0.48
0.8582,MSFT,269.53,274.95,274.88,273.78,0.5694,442017,2,0.4
0.8214,AAPL,156.54,159.4,157.32,159.28,1.1944,876153,5,1.78
1.0443,NVDA,253.82,263.91,261.8,261.99,1.1544,419570,3,0.97
1.4062,AMD,93.64,99.46,97.0,95.93,-0.909,455985,-1,-2.0
0.5415,IBM,125.66,127.15,126.9,126.57,0.5002,51324,0,6.41
0.472,NOC,447.07,454.66,453.79,449.98,0.1603,8009,0,-9.09
0.7754,EA,113.11,115.15,113.11,114.94,1.2509,20730,0,-8.33
1.1569,JPM,130.19,131.73,130.59,130.55,2.6821,82255,2,-0.04
0.8096,TSLA,188.04,197.99,188.28,197.58,7.8199,888994,3,-0.94
0.949,GOOGL,101.22,105.0996,101.25,104.92,3.6554,159625,1,-2.26
0.4458,AMC,4.2115,4.4458,4.33,4.41,3.2787,411794,19,2.01
0.3545,CVNA,7.18,8.09,7.19,7.93,12.1641,23282,-2,0.69
0.7329,AMZN,98.0,100.84,98.14,100.61,2.968,586871,1,1.31
0.8793,SONY,88.71,89.7,89.08,89.37,1.0744,2080,0,0.0
1.1245,INTC,27.975,29.165,29.0,28.46,-2.4005,130851,0,0.66
