open,price,symbol,low,relvolume,percentchange,high,watchers,hourchange,sentiment
453.79,449.98,NOC,447.07,0.472,0.1603,454.66,8009,0,-9.09
261.8,261.99,NVDA,253.82,1.0443,1.1544,263.91,419575,5,0.94
188.28,197.58,TSLA,188.04,0.8096,7.8199,197.99,888995,1,-0.81
4.33,4.41,AMC,4.2115,0.4458,3.2787,4.4458,411807,13,2.6
101.25,104.92,GOOGL,101.22,0.949,3.6554,105.0996,159625,0,-2.0
7.19,7.93,CVNA,7.18,0.3545,12.1641,8.09,23281,-1,1.19
89.08,89.37,SONY,88.71,0.8793,1.0744,89.7,2080,0,0.0
98.14,100.61,AMZN,98.0,0.7329,2.968,100.84,586873,2,1.26
29.0,28.46,INTC,27.975,1.1245,-2.4005,29.165,130853,2,0.57
203.2,202.16,META,197.96,0.9155,2.1991,203.515,511818,0,1.52
274.88,273.78,MSFT,269.53,0.8582,0.5694,274.95,442021,4,0.61
5.35,5.57,SOFI,5.3243,0.733,6.705,5.6,91600,0,0.47
196.93,207.63,ENPH,195.44,1.1827,7.8541,209.33,37227,0,2.54
130.59,130.55,JPM,130.19,1.1569,2.6821,131.73,82255,0,-0.33
97.0,95.93,AMD,93.64,1.4062,-0.909,99.46,455985,0,-2.1
157.32,159.28,AAPL,156.54,0.8214,1.1944,159.4,876154,1,1.89
113.11,114.94,EA,113.11,0.7754,1.2509,115.15,20730,0,-8.33
126.9,126.57,IBM,125.66,0.5415,0.5002,127.15,51324,0,6.41
