low,percentchange,open,symbol,relvolume,high,price,watchers,hourchange,sentiment
140.17,-0.2903,139.91,JPM,0.5739,141.4299,140.81,82975,-1,-1.1
472.07,-0.6058,478.4,NOC,0.4428,478.4,474.18,8041,0,8.57
285.08,-0.8112,285.25,MSFT,0.5981,289.03,286.11,443701,7,-2.36
165.56,-0.5846,166.09,AAPL,0.6838,167.87,166.65,878278,0,-2.72
125.84,0.0317,130.15,IBM,1.7117,130.98,126.36,51479,-2,4.36
212.77,-1.2193,213.48,META,0.4419,216.75,213.07,512995,4,-2.62
128.15,0.4837,128.28,EA,0.4949,129.56,128.8,20703,0,0.0
219.31,0.2319,220.5,ENPH,0.5575,226.26,224.79,37479,1,1.5
103.21,-0.4698,103.53,AMZN,0.7877,105.24,103.81,588835,7,-1.61
30.71,-0.931,30.76,INTC,0.5128,31.25,30.86,131293,2,-2.09
7.91,-7.3001,8.3,CVNA,0.3562,8.51,8.0,23279,0,-6.7
88.75,0.189,88.825,AMD,0.7047,91.575,90.11,456925,-7,-1.38
4.89,-2.549,5.0,AMC,0.2431,5.02,4.97,413195,6,0.68
103.8684,1.0655,103.91,GOOGL,0.5805,106.25,105.29,160590,4,-0.89
270.0,-2.9609,276.71,NVDA,0.791,280.3,271.04,422009,3,1.54
90.915,0.4507,90.97,SONY,0.7099,92.275,91.38,2090,0,0.0
5.88,-2.6316,5.98,SOFI,0.5018,6.045,5.92,91963,3,-0.18
160.56,-9.7458,166.165,TSLA,1.261,169.55,162.99,892487,8,-6.91
