open,percentchange,price,low,relvolume,symbol,high,watchers,hourchange,sentiment
280.5,-1.4934,276.38,275.52,0.6882,MSFT,281.4589,442445,2,-0.71
118.9,-0.3276,118.64,118.14,0.6373,EA,119.4,20715,0,-5.45
268.37,-0.9261,265.31,263.6501,0.6791,NVDA,269.94,420376,9,-0.96
5.82,0.3484,5.76,5.73,0.5937,SOFI,5.88,91739,0,0.49
87.12,-1.0168,86.64,86.33,1.0594,SONY,87.38,2080,0,0.0
126.47,3.2086,129.31,126.47,1.0705,IBM,130.255,51334,-1,4.09
126.79,2.8661,128.49,126.29,1.2406,JPM,129.38,82439,1,-0.63
98.02,-1.368,96.61,95.425,0.8904,AMD,98.93,456283,0,-2.2
204.81,-1.5388,202.84,201.37,0.4942,META,205.86,512187,0,-1.09
459.09,0.659,458.25,455.23,0.3979,NOC,459.96,8012,-1,0.0
159.94,-1.2293,158.28,157.87,0.6029,AAPL,160.77,876599,3,-1.03
99.07,-0.0917,98.04,97.08,0.5885,AMZN,99.335,587206,2,-0.48
8.35,-6.9597,7.62,7.57,0.2612,CVNA,8.445,23412,1,-0.26
4.51,1.7897,4.55,4.3,0.5515,AMC,4.58,411960,0,-0.8
199.36,-0.0816,195.83,191.61,0.5969,ENPH,200.21,37294,0,-0.19
104.615,-2.8263,102.46,101.9273,0.6543,GOOGL,104.76,159785,5,-1.37
194.415,0.7353,191.81,189.94,0.6504,TSLA,197.39,889486,0,-0.73
29.37,-0.6131,29.18,29.08,0.6526,INTC,29.73,130884,0,0.75
