open,symbol,price,relvolume,low,percentchange,high,watchers,hourchange,sentiment
268.37,NVDA,265.15,0.6791,263.6501,-0.9858,269.94,420362,-3,-0.78
5.82,SOFI,5.76,0.5937,5.73,0.3484,5.88,91735,0,0.16
126.47,IBM,129.3,1.0705,126.47,3.2006,130.255,51336,0,3.72
98.02,AMD,96.54,0.8904,95.425,-1.4395,98.93,456276,4,-2.21
204.81,META,202.67,0.4942,201.37,-1.6213,205.86,512179,0,-0.25
99.07,AMZN,98.03,0.5885,97.08,-0.1019,99.335,587197,2,-0.53
126.79,JPM,128.49,1.2406,126.29,2.8661,129.38,82432,2,-2.07
87.12,SONY,86.61,1.0594,86.33,-1.0511,87.38,2080,0,0.0
8.35,CVNA,7.6279,0.2612,7.57,-6.8632,8.3686,23419,0,-0.54
4.51,AMC,4.575,0.5515,4.3,2.349,4.58,411963,-3,-0.26
459.09,NOC,458.515,0.3979,455.23,0.7172,459.96,8013,0,0.0
159.94,AAPL,158.12,0.6029,157.87,-1.3292,160.77,876584,-5,-0.33
199.36,ENPH,195.725,0.5969,191.61,-0.1352,200.21,37292,-1,0.25
194.415,TSLA,191.71,0.6504,189.94,0.6827,197.39,889474,5,-0.67
118.9,EA,118.53,0.6373,118.14,-0.4201,119.4,20717,0,-5.45
104.615,GOOGL,102.39,0.6543,101.9273,-2.8926,104.76,159787,0,-0.63
29.37,INTC,29.165,0.6526,29.08,-0.6642,29.73,130887,2,1.05
280.5,MSFT,276.19,0.6882,275.52,-1.5611,281.4589,442425,0,0.39
