symbol,open,high,price,percentchange,relvolume,low,watchers,hourchange,sentiment
GOOGL,101.25,105.0996,104.92,3.6554,0.949,101.22,159624,0,-2.16
CVNA,7.19,8.09,7.93,12.1641,0.3545,7.18,23284,0,-0.02
AMC,4.33,4.4458,4.41,3.2787,0.4458,4.2115,411775,16,1.63
AMZN,98.14,100.84,100.61,2.968,0.7329,98.0,586870,5,1.03
SONY,89.08,89.7,89.37,1.0744,0.8793,88.71,2080,0,0.0
INTC,29.0,29.165,28.46,-2.4005,1.1245,27.975,130851,2,0.57
ENPH,196.93,209.33,207.63,7.8541,1.1827,195.44,37226,0,2.86
META,203.2,203.515,202.16,2.1991,0.9155,197.96,511816,5,1.52
MSFT,274.88,274.95,273.78,0.5694,0.8582,269.53,442015,4,0.47
SOFI,5.35,5.6,5.57,6.705,0.733,5.3243,91599,0,0.37
AAPL,157.32,159.4,159.28,1.1944,0.8214,156.54,876148,10,1.8
NVDA,261.8,263.91,261.99,1.1544,1.0443,253.82,419567,6,0.87
AMD,97.0,99.46,95.93,-0.909,1.4062,93.64,455986,-1,-1.94
JPM,130.59,131.73,130.55,2.6821,1.1569,130.19,82253,1,-0.12
IBM,126.9,127.15,126.57,0.5002,0.5415,125.66,51324,0,6.41
NOC,453.79,454.66,449.98,0.1603,0.472,447.07,8009,0,-9.09
TSLA,188.28,197.99,197.58,7.8199,0.8096,188.04,888991,9,-1.09
EA,113.11,115.15,114.94,1.2509,0.7754,113.11,20730,0,-8.33
