low,percentchange,open,relvolume,price,symbol,high,watchers,hourchange,sentiment
32.54,0.6734,32.94,1.0724,32.89,INTC,33.56,131142,1,0.28
283.95,-0.3711,286.52,0.6614,287.23,MSFT,288.27,442829,-1,-0.39
130.77,0.7399,130.97,0.5014,132.06,IBM,132.61,51354,2,2.17
462.65,1.6179,463.3,0.4395,469.19,NOC,471.55,8031,0,0.0
208.2001,0.5332,208.84,0.5014,213.07,META,213.4861,512458,9,1.13
192.2,-6.1168,199.91,0.9487,194.77,TSLA,202.6897,890345,9,-1.25
164.27,0.7702,164.27,0.6998,166.17,AAPL,166.29,877079,8,1.35
119.6,0.7472,120.14,0.5851,121.35,EA,121.65,20708,0,0.0
201.6293,-3.6523,213.98,0.7684,202.6,ENPH,215.8856,37372,2,1.98
9.085,-5.1073,9.64,0.4915,9.29,CVNA,10.16,23359,0,-0.36
102.11,0.6073,102.39,0.5137,104.36,GOOGL,104.53,160012,2,1.9
94.81,-1.4794,96.695,0.7543,96.56,AMD,96.79,456507,0,-0.99
101.43,-0.852,102.3,0.5293,102.41,AMZN,103.29,587682,6,1.05
129.41,-0.1151,129.91,0.5897,130.16,JPM,131.44,82515,0,4.44
273.36,0.6768,275.09,0.736,279.65,NVDA,280.0,420840,8,0.99
5.94,-0.659,6.14,0.8172,6.03,SOFI,6.275,91844,-1,-1.22
90.41,0.7501,90.41,1.0137,91.33,SONY,91.38,2088,0,0.0
4.94,1.996,4.99,0.4861,5.11,AMC,5.145,412500,-4,0.46
