symbol,low,open,high,percentchange,price,relvolume,watchers,hourchange,sentiment
META,196.09,198.26,205.76,3.6308,204.93,1.4445,511578,6,1.88
IBM,121.92,122.96,124.82,1.1518,124.7,1.2179,51321,0,7.43
TSLA,178.84,180.365,185.81,2.0393,184.13,0.6387,888564,3,3.85
MSFT,263.28,265.205,276.5,4.0536,276.2,1.4833,441647,1,5.72
ENPH,198.28,204.92,205.58,-2.2648,201.1,0.7833,36997,4,-0.93
AMD,89.02,89.72,96.69,7.7163,96.6,1.9766,455753,6,5.55
SONY,84.21,84.51,86.47,3.1646,86.39,1.0857,2078,0,-13.33
SOFI,5.28,5.3501,5.54,0.7394,5.45,0.6438,91532,-1,1.01
INTC,28.4,28.39,30.27,6.2302,30.18,1.5477,130776,0,5.56
AMC,4.06,4.22,4.65,4.2755,4.39,0.764,411748,0,0.45
EA,111.39,111.39,113.79,1.9303,113.53,0.7185,20735,0,-8.33
CVNA,6.63,6.92,7.585,5.1064,7.41,0.4207,23316,0,0.61
AMZN,95.61,95.75,100.99,3.9917,100.04,1.0602,586498,8,4.01
GOOGL,95.5,96.2,101.18,4.3804,100.32,1.5267,159481,0,1.93
JPM,126.02,128.01,131.95,1.9414,130.75,1.8493,81984,1,3.96
NOC,448.0,449.11,455.97,0.2785,450.15,0.8285,7993,0,5.68
NVDA,238.94,240.27,255.88,5.4193,255.41,1.1226,419041,9,6.78
AAPL,151.64,152.16,156.42,1.8694,155.85,0.9062,875748,6,4.36
