relvolume,high,percentchange,low,price,open,symbol,watchers,hourchange,sentiment
0.6882,281.4589,-1.4934,275.52,276.38,280.5,MSFT,442445,2,-0.71
0.6373,119.4,-0.3276,118.14,118.64,118.9,EA,20715,0,-5.45
0.6791,269.94,-0.9261,263.6501,265.31,268.37,NVDA,420376,9,-0.96
0.5937,5.88,0.3484,5.73,5.76,5.82,SOFI,91739,0,0.49
1.0594,87.38,-1.0168,86.33,86.64,87.12,SONY,2080,0,0.0
1.0705,130.255,3.2086,126.47,129.31,126.47,IBM,51334,-1,4.09
1.2406,129.38,2.8661,126.29,128.49,126.79,JPM,82439,1,-0.63
0.8904,98.93,-1.368,95.425,96.61,98.02,AMD,456283,0,-2.2
0.4942,205.86,-1.5388,201.37,202.84,204.81,META,512187,0,-1.09
0.3979,459.96,0.659,455.23,458.25,459.09,NOC,8012,-1,0.0
0.6029,160.77,-1.2293,157.87,158.28,159.94,AAPL,876599,3,-1.03
0.5885,99.335,-0.0917,97.08,98.04,99.07,AMZN,587206,2,-0.48
0.2612,8.445,-6.9597,7.57,7.62,8.35,CVNA,23412,1,-0.26
0.5515,4.58,1.7897,4.3,4.55,4.51,AMC,411960,0,-0.8
0.5969,200.21,-0.0816,191.61,195.83,199.36,ENPH,37294,0,-0.19
0.6543,104.76,-2.8263,101.9273,102.46,104.615,GOOGL,159785,5,-1.37
0.6504,197.39,0.7353,189.94,191.81,194.415,TSLA,889486,0,-0.73
0.6526,29.73,-0.6131,29.08,29.18,29.37,INTC,130884,0,0.75
