low,price,high,symbol,percentchange,relvolume,open,watchers,hourchange,sentiment
119.6,121.35,121.65,EA,0.7472,0.5851,120.14,20708,0,8.33
129.41,130.16,131.44,JPM,-0.1151,0.5897,129.91,82517,0,3.31
102.11,104.36,104.53,GOOGL,0.6073,0.5137,102.39,160023,0,3.38
273.36,279.65,280.0,NVDA,0.6768,0.736,275.09,420856,4,1.71
90.41,91.33,91.38,SONY,0.7501,1.0137,90.41,2088,0,0.0
5.94,6.03,6.275,SOFI,-0.659,0.8172,6.14,91843,1,-1.07
4.94,5.11,5.145,AMC,1.996,0.4861,4.99,412639,15,-1.24
32.54,32.89,33.56,INTC,0.6734,1.0724,32.94,131143,0,0.01
283.95,287.23,288.27,MSFT,-0.3711,0.6614,286.52,442841,1,1.19
130.77,132.06,132.61,IBM,0.7399,0.5014,130.97,51353,-1,2.17
462.65,469.19,471.55,NOC,1.6179,0.4395,463.3,8034,0,0.0
192.2,194.77,202.6897,TSLA,-6.1168,0.9487,199.91,890382,3,-0.5
164.27,166.17,166.29,AAPL,0.7702,0.6998,164.27,877097,2,2.37
208.2001,213.07,213.4861,META,0.5332,0.5014,208.84,512477,-1,2.19
201.6293,202.6,215.8856,ENPH,-3.6523,0.7684,213.98,37376,0,1.44
9.085,9.29,10.16,CVNA,-5.1073,0.4915,9.64,23353,0,-0.6
101.43,102.41,103.29,AMZN,-0.852,0.5293,102.3,587699,1,1.82
94.81,96.56,96.79,AMD,-1.4794,0.7543,96.695,456503,2,-0.58
