high,relvolume,open,percentchange,symbol,price,low,watchers,hourchange,sentiment
129.56,0.4949,128.28,0.4837,EA,128.8,128.15,20704,0,0.0
478.4,0.4428,478.4,-0.6058,NOC,474.18,472.07,8041,0,8.57
167.87,0.6838,166.09,-0.5846,AAPL,166.65,165.56,878285,0,-2.57
130.98,1.7117,130.15,0.0317,IBM,126.36,125.84,51478,2,4.14
216.75,0.4419,213.48,-1.2193,META,213.07,212.77,513000,0,-2.57
226.26,0.5575,220.5,0.2319,ENPH,224.79,219.31,37478,-1,1.5
105.24,0.7877,103.53,-0.4698,AMZN,103.81,103.21,588848,0,-0.96
31.25,0.5128,30.76,-0.931,INTC,30.86,30.71,131292,1,-0.79
8.51,0.3562,8.3,-7.3001,CVNA,8.0,7.91,23276,-2,-7.98
91.575,0.7047,88.825,0.189,AMD,90.11,88.75,456932,1,0.04
5.02,0.2431,5.0,-2.549,AMC,4.97,4.89,413198,2,-0.21
280.3,0.791,276.71,-2.9609,NVDA,271.04,270.0,422017,3,1.68
92.275,0.7099,90.97,0.4507,SONY,91.38,90.915,2090,0,0.0
106.25,0.5805,103.91,1.0655,GOOGL,105.29,103.8684,160590,2,-0.64
6.045,0.5018,5.98,-2.6316,SOFI,5.92,5.88,91968,2,-0.22
169.55,1.261,166.165,-9.7458,TSLA,162.99,160.56,892560,10,-5.87
141.4299,0.5739,139.91,-0.2903,JPM,140.81,140.17,82979,4,-1.09
289.03,0.5981,285.25,-0.8112,MSFT,286.11,285.08,443704,2,-2.26
