percentchange,relvolume,price,symbol,open,high,low,watchers,hourchange,sentiment
-1.5486,0.8082,113.16,EA,114.29,115.1,113.14,20724,0,25.0
-0.1795,1.6018,5.56,SOFI,5.79,6.03,5.54,91661,1,2.39
-1.1595,0.735,28.13,INTC,28.48,29.12,28.1,130857,-1,-8.44
1.72,1.7963,97.58,AMD,95.65,101.7,95.645,456057,8,-3.85
-1.4773,1.0266,103.37,GOOGL,104.27,106.59,103.33,159666,5,-6.06
-1.8984,0.7426,98.7,AMZN,100.45,102.1,98.61,586932,11,-1.58
6.3052,1.7855,8.43,CVNA,10.15,10.25,8.4,23434,0,8.79
-2.1596,0.9838,87.44,SONY,88.91,89.0699,87.43,2080,0,0.0
-2.6393,0.8075,202.15,ENPH,209.65,211.22,202.0,37246,2,-0.17
-1.1624,0.8014,199.81,META,202.5,207.37,199.67,511876,4,2.28
-3.2544,0.7976,191.15,TSLA,199.3,200.66,190.95,889119,16,-1.56
1.0268,1.5517,264.68,NVDA,264.25,275.89,262.37,419791,13,0.84
-1.4178,0.5627,443.6,NOC,450.22,452.4,443.085,8008,0,-18.18
-0.5442,0.9473,272.29,MSFT,273.4,281.04,272.22,442098,6,1.1
-1.991,0.5477,124.05,IBM,127.0,127.215,124.01,51324,0,16.67
-1.5873,0.8468,4.34,AMC,4.73,4.75,4.31,411913,1,4.0
-2.5814,1.1652,127.18,JPM,130.56,130.655,127.08,82275,0,0.18
-0.9103,0.893,157.83,AAPL,159.3,162.14,157.81,876238,3,0.47
