price,low,relvolume,symbol,high,percentchange,open,watchers,hourchange,sentiment
29.29,28.63,0.6633,INTC,29.33,0.377,29.075,130890,0,-1.37
101.03,99.7401,0.707,GOOGL,102.4,-1.3957,102.44,159813,0,-5.03
7.36,7.22,0.235,CVNA,7.72,-3.4121,7.57,23379,-1,-0.22
193.52,190.624,0.3801,ENPH,196.515,-1.1796,196.0,37300,0,-2.53
129.34,128.8,0.4651,IBM,129.66,0.0232,129.18,51347,0,1.62
157.65,155.98,0.5555,AAPL,158.1277,-0.398,157.97,876657,0,-2.39
275.23,272.05,0.5713,MSFT,276.13,-0.4161,275.79,442491,3,-1.77
94.56,92.87,0.907,AMD,96.93,-2.1219,96.77,456319,0,-0.38
200.68,197.9,0.535,META,201.03,-1.0649,200.15,512233,1,-4.05
128.88,127.75,0.7437,JPM,129.3417,0.3035,128.71,82450,0,-5.06
264.1,258.5,0.6755,NVDA,265.13,-0.4561,264.47,420430,4,-1.17
459.0,457.59,0.3387,NOC,461.5,0.1637,458.31,8020,0,3.57
189.19,185.43,0.5363,TSLA,192.35,-1.3659,192.0,889588,-2,-2.99
118.02,117.38,0.5197,EA,118.4425,-0.5226,118.085,20713,-1,4.44
85.82,85.74,0.8063,SONY,86.6682,-0.9464,86.11,2081,0,0.0
5.59,5.51,0.5751,SOFI,5.79,-2.9514,5.74,91755,4,-0.29
5.15,4.46,2.4732,AMC,5.5,13.1868,4.51,412343,21,0.85
97.24,96.29,0.4953,AMZN,98.44,-0.816,98.11,587292,0,-0.91
