high,symbol,open,low,percentchange,price,relvolume,watchers,hourchange,sentiment
141.4299,JPM,139.91,140.17,-0.2903,140.81,0.5739,82976,0,-0.63
478.4,NOC,478.4,472.07,-0.6058,474.18,0.4428,8042,-1,11.89
289.03,MSFT,285.25,285.08,-0.8112,286.11,0.5981,443691,11,-2.82
130.98,IBM,130.15,125.84,0.0317,126.36,1.7117,51487,-1,1.34
167.87,AAPL,166.09,165.56,-0.5846,166.65,0.6838,878279,5,-2.25
129.56,EA,128.28,128.15,0.4837,128.8,0.4949,20703,0,0.0
226.26,ENPH,220.5,219.31,0.2319,224.79,0.5575,37478,0,1.41
105.24,AMZN,103.53,103.21,-0.4698,103.81,0.7877,588824,4,-1.75
216.75,META,213.48,212.77,-1.2193,213.07,0.4419,512987,0,-1.9
31.25,INTC,30.76,30.71,-0.931,30.86,0.5128,131293,0,-1.13
8.51,CVNA,8.3,7.91,-7.3001,8.0,0.3562,23279,0,-3.81
91.575,AMD,88.825,88.75,0.189,90.11,0.7047,456931,-2,-2.11
5.02,AMC,5.0,4.89,-2.549,4.97,0.2431,413190,0,1.05
106.25,GOOGL,103.91,103.8684,1.0655,105.29,0.5805,160582,0,-2.02
92.275,SONY,90.97,90.915,0.4507,91.38,0.7099,2090,0,0.0
169.55,TSLA,166.165,160.56,-9.7458,162.99,1.261,892438,0,-11.56
6.045,SOFI,5.98,5.88,-2.6316,5.92,0.5018,91960,0,0.51
280.3,NVDA,276.71,270.0,-2.9609,271.04,0.791,421999,4,1.67
