relvolume,price,low,percentchange,high,symbol,open,watchers,hourchange,sentiment
0.472,449.98,447.07,0.1603,454.66,NOC,453.79,8008,-1,-10.0
1.0443,261.99,253.82,1.1544,263.91,NVDA,261.8,419580,3,1.05
0.8096,197.58,188.04,7.8199,197.99,TSLA,188.28,888999,4,-0.66
0.4458,4.41,4.2115,3.2787,4.4458,AMC,4.33,411833,16,3.2
0.949,104.92,101.22,3.6554,105.0996,GOOGL,101.25,159627,-1,-2.13
0.3545,7.93,7.18,12.1641,8.09,CVNA,7.19,23280,-1,1.75
0.8793,89.37,88.71,1.0744,89.7,SONY,89.08,2081,0,0.0
0.7329,100.61,98.0,2.968,100.84,AMZN,98.14,586872,-1,1.36
1.1245,28.46,27.975,-2.4005,29.165,INTC,29.0,130853,0,-0.52
0.9155,202.16,197.96,2.1991,203.515,META,203.2,511818,-2,1.57
0.8582,273.78,269.53,0.5694,274.95,MSFT,274.88,442020,-1,1.01
0.733,5.57,5.3243,6.705,5.6,SOFI,5.35,91602,3,0.66
1.1827,207.63,195.44,7.8541,209.33,ENPH,196.93,37227,2,2.31
1.1569,130.55,130.19,2.6821,131.73,JPM,130.59,82256,0,-0.31
1.4062,95.93,93.64,-0.909,99.46,AMD,97.0,455986,1,-2.15
0.8214,159.28,156.54,1.1944,159.4,AAPL,157.32,876159,5,2.07
0.7754,114.94,113.11,1.2509,115.15,EA,113.11,20727,0,-8.33
0.5415,126.57,125.66,0.5002,127.15,IBM,126.9,51325,0,5.69
