high,symbol,open,percentchange,relvolume,price,low,watchers,hourchange,sentiment
132.61,IBM,130.97,0.7399,0.5014,132.06,130.77,51354,0,2.17
202.6897,TSLA,199.91,-6.1168,0.9487,194.77,192.2,890366,11,-0.86
213.4861,META,208.84,0.5332,0.5014,213.07,208.2001,512473,13,1.8
121.65,EA,120.14,0.7472,0.5851,121.35,119.6,20708,0,8.33
471.55,NOC,463.3,1.6179,0.4395,469.19,462.65,8034,0,0.0
166.29,AAPL,164.27,0.7702,0.6998,166.17,164.27,877087,4,1.71
215.8856,ENPH,213.98,-3.6523,0.7684,202.6,201.6293,37373,0,1.41
10.16,CVNA,9.64,-5.1073,0.4915,9.29,9.085,23358,0,-0.11
103.29,AMZN,102.3,-0.852,0.5293,102.41,101.43,587689,3,0.93
96.79,AMD,96.695,-1.4794,0.7543,96.56,94.81,456499,-4,-0.82
104.53,GOOGL,102.39,0.6073,0.5137,104.36,102.11,160020,3,2.83
131.44,JPM,129.91,-0.1151,0.5897,130.16,129.41,82515,0,2.75
280.0,NVDA,275.09,0.6768,0.736,279.65,273.36,420848,3,1.19
91.38,SONY,90.41,0.7501,1.0137,91.33,90.41,2088,0,0.0
6.275,SOFI,6.14,-0.659,0.8172,6.03,5.94,91843,-1,-1.09
5.145,AMC,4.99,1.996,0.4861,5.11,4.94,412592,56,0.17
33.56,INTC,32.94,0.6734,1.0724,32.89,32.54,131144,0,0.52
288.27,MSFT,286.52,-0.3711,0.6614,287.23,283.95,442836,6,-0.06
