open,relvolume,high,percentchange,symbol,price,low,watchers,hourchange,sentiment
459.09,0.3979,459.96,0.659,NOC,458.25,455.23,8013,0,0.0
4.51,0.5515,4.58,1.7897,AMC,4.55,4.3,411960,1,-0.63
159.94,0.6029,160.77,-1.2293,AAPL,158.28,157.87,876596,2,-0.86
8.35,0.2612,8.445,-6.9597,CVNA,7.62,7.57,23411,0,-0.62
199.36,0.5969,200.21,-0.0816,ENPH,195.83,191.61,37294,2,-0.21
194.415,0.6504,197.39,0.7353,TSLA,191.81,189.94,889486,8,-0.82
118.9,0.6373,119.4,-0.3276,EA,118.64,118.14,20715,0,-5.45
104.615,0.6543,104.76,-2.8263,GOOGL,102.46,101.9273,159780,0,-1.16
29.37,0.6526,29.73,-0.6131,INTC,29.18,29.08,130884,0,0.97
280.5,0.6882,281.4589,-1.4934,MSFT,276.38,275.52,442443,4,-0.58
268.37,0.6791,269.94,-0.9261,NVDA,265.31,263.6501,420367,0,-1.01
5.82,0.5937,5.88,0.3484,SOFI,5.76,5.73,91739,2,0.42
87.12,1.0594,87.38,-1.0168,SONY,86.64,86.33,2080,0,0.0
126.47,1.0705,130.255,3.2086,IBM,129.31,126.47,51335,0,4.09
98.02,0.8904,98.93,-1.368,AMD,96.61,95.425,456283,0,-2.23
126.79,1.2406,129.38,2.8661,JPM,128.49,126.29,82438,0,-1.43
204.81,0.4942,205.86,-1.5388,META,202.84,201.37,512187,2,-0.91
99.07,0.5885,99.335,-0.0917,AMZN,98.04,97.08,587204,5,-0.37
