symbol,relvolume,high,percentchange,low,price,open,watchers,hourchange,sentiment
EA,0.5851,121.65,0.7472,119.6,121.35,120.14,20708,0,8.33
JPM,0.5897,131.44,-0.1151,129.41,130.16,129.91,82517,2,2.86
GOOGL,0.5137,104.53,0.6073,102.11,104.36,102.39,160023,1,2.75
NVDA,0.736,280.0,0.6768,273.36,279.65,275.09,420852,0,1.61
SONY,1.0137,91.38,0.7501,90.41,91.33,90.41,2088,0,0.0
SOFI,0.8172,6.275,-0.659,5.94,6.03,6.14,91842,-2,-1.13
AMC,0.4861,5.145,1.996,4.94,5.11,4.99,412624,17,-0.91
INTC,1.0724,33.56,0.6734,32.54,32.89,32.94,131143,-1,0.34
MSFT,0.6614,288.27,-0.3711,283.95,287.23,286.52,442840,0,0.95
IBM,0.5014,132.61,0.7399,130.77,132.06,130.97,51354,1,2.17
NOC,0.4395,471.55,1.6179,462.65,469.19,463.3,8034,0,0.0
TSLA,0.9487,202.6897,-6.1168,192.2,194.77,199.91,890379,8,-0.49
AAPL,0.6998,166.29,0.7702,164.27,166.17,164.27,877095,7,2.26
META,0.5014,213.4861,0.5332,208.2001,213.07,208.84,512478,2,2.24
ENPH,0.7684,215.8856,-3.6523,201.6293,202.6,213.98,37376,0,1.19
CVNA,0.4915,10.16,-5.1073,9.085,9.29,9.64,23353,-4,-0.85
AMZN,0.5293,103.29,-0.852,101.43,102.41,102.3,587698,5,1.52
AMD,0.7543,96.79,-1.4794,94.81,96.56,96.695,456501,0,-0.2
