symbol,relvolume,open,price,low,percentchange,high,watchers,hourchange,sentiment
ENPH,0.3801,196.0,193.52,190.624,-1.1796,196.515,37300,2,-2.44
IBM,0.4651,129.18,129.34,128.8,0.0232,129.66,51342,-2,1.62
MSFT,0.5713,275.79,275.23,272.05,-0.4161,276.13,442485,-1,-2.16
AAPL,0.5555,157.97,157.65,155.98,-0.398,158.1277,876653,-3,-3.16
AMD,0.907,96.77,94.56,92.87,-2.1219,96.93,456315,6,-0.56
JPM,0.7437,128.71,128.88,127.75,0.3035,129.3417,82446,-4,-4.76
NOC,0.3387,458.31,459.0,457.59,0.1637,461.5,8018,2,0.0
EA,0.5197,118.085,118.02,117.38,-0.5226,118.4425,20714,-1,4.44
NVDA,0.6755,264.47,264.1,258.5,-0.4561,265.13,420425,2,-1.21
META,0.535,200.15,200.68,197.9,-1.0649,201.03,512228,8,-3.87
TSLA,0.5363,192.0,189.19,185.43,-1.3659,192.35,889584,-1,-3.17
SONY,0.8063,86.11,85.82,85.74,-0.9464,86.6682,2081,0,0.0
AMZN,0.4953,98.11,97.24,96.29,-0.816,98.44,587286,26,-1.74
AMC,2.4732,4.51,5.15,4.46,13.1868,5.5,412284,203,1.03
SOFI,0.5751,5.74,5.59,5.51,-2.9514,5.79,91753,-2,0.06
INTC,0.6633,29.075,29.29,28.63,0.377,29.33,130891,0,-1.2
GOOGL,0.707,102.44,101.03,99.7401,-1.3957,102.4,159815,-2,-4.78
CVNA,0.235,7.57,7.36,7.22,-3.4121,7.72,23378,-9,-0.12
