symbol,price,percentchange,low,high,relvolume,open,watchers,hourchange,sentiment
AMZN,100.61,2.968,98.0,100.84,0.7329,98.14,586870,5,1.03
CVNA,7.93,12.1641,7.18,8.09,0.3545,7.19,23284,0,-0.02
SONY,89.37,1.0744,88.71,89.7,0.8793,89.08,2080,0,0.0
INTC,28.46,-2.4005,27.975,29.165,1.1245,29.0,130851,2,0.57
ENPH,207.63,7.8541,195.44,209.33,1.1827,196.93,37226,0,2.86
META,202.16,2.1991,197.96,203.515,0.9155,203.2,511816,5,1.52
SOFI,5.57,6.705,5.3243,5.6,0.733,5.35,91599,0,0.37
MSFT,273.78,0.5694,269.53,274.95,0.8582,274.88,442015,4,0.47
AAPL,159.28,1.1944,156.54,159.4,0.8214,157.32,876148,10,1.8
NOC,449.98,0.1603,447.07,454.66,0.472,453.79,8009,0,-9.09
JPM,130.55,2.6821,130.19,131.73,1.1569,130.59,82253,1,-0.12
AMD,95.93,-0.909,93.64,99.46,1.4062,97.0,455986,-1,-1.94
NVDA,261.99,1.1544,253.82,263.91,1.0443,261.8,419567,6,0.87
IBM,126.57,0.5002,125.66,127.08,0.5415,126.9,51324,0,6.41
EA,114.94,1.2509,113.11,115.15,0.7754,113.11,20730,0,-8.33
TSLA,197.58,7.8199,188.04,197.99,0.8096,188.28,888991,9,-1.09
GOOGL,104.92,3.6554,101.22,105.0996,0.949,101.25,159624,0,-2.16
AMC,4.41,3.2787,4.2115,4.445,0.4458,4.33,411775,16,1.63
